frame,abstime,reltime,Cursor 1 [C],Cursor 2 [C],Cursor 3 [C]
20940,23:04.5,403.5,7.86E+01,3.33E+01,3.09E+01
20941,23:04.6,403.563,7.88E+01,3.33E+01,3.09E+01
20942,23:04.7,403.627,7.90E+01,3.33E+01,3.09E+01
20943,23:04.7,403.689,7.91E+01,3.33E+01,3.09E+01
20944,23:04.8,403.752,7.93E+01,3.33E+01,3.09E+01
20945,23:04.8,403.814,7.96E+01,3.33E+01,3.09E+01
20946,23:04.9,403.877,7.97E+01,3.33E+01,3.09E+01
20947,23:05.0,403.939,7.99E+01,3.33E+01,3.09E+01
20948,23:05.0,403.999,8.00E+01,3.33E+01,3.09E+01
20949,23:05.1,404.067,8.02E+01,3.33E+01,3.09E+01
20950,23:05.2,404.125,8.05E+01,3.33E+01,3.09E+01
20951,23:05.2,404.186,8.05E+01,3.33E+01,3.09E+01
20952,23:05.3,404.251,8.07E+01,3.33E+01,3.09E+01
20953,23:05.3,404.314,8.09E+01,3.33E+01,3.09E+01
20954,23:05.4,404.377,8.11E+01,3.33E+01,3.10E+01
20955,23:05.5,404.439,8.12E+01,3.33E+01,3.10E+01
20956,23:05.5,404.499,8.15E+01,3.34E+01,3.10E+01
20957,23:05.6,404.561,8.16E+01,3.34E+01,3.10E+01
20958,23:05.7,404.627,8.18E+01,3.34E+01,3.10E+01
20959,23:05.7,404.687,8.20E+01,3.34E+01,3.10E+01
20960,23:05.8,404.752,8.21E+01,3.34E+01,3.10E+01
20961,23:05.8,404.813,8.23E+01,3.35E+01,3.11E+01
20962,23:05.9,404.875,8.25E+01,3.35E+01,3.11E+01
20963,23:06.0,404.936,8.25E+01,3.35E+01,3.11E+01
20964,23:06.0,405,8.27E+01,3.35E+01,3.11E+01
20965,23:06.1,405.062,8.28E+01,3.35E+01,3.11E+01
20966,23:06.2,405.125,8.30E+01,3.35E+01,3.11E+01
20967,23:06.2,405.189,8.31E+01,3.35E+01,3.12E+01
20968,23:06.3,405.249,8.34E+01,3.35E+01,3.11E+01
20969,23:06.3,405.314,8.35E+01,3.35E+01,3.12E+01
20970,23:06.4,405.374,8.36E+01,3.36E+01,3.12E+01
20971,23:06.5,405.437,8.37E+01,3.35E+01,3.12E+01
20972,23:06.5,405.5,8.39E+01,3.36E+01,3.12E+01
20973,23:06.6,405.564,8.40E+01,3.36E+01,3.12E+01
20974,23:06.7,405.627,8.42E+01,3.36E+01,3.12E+01
20975,23:06.7,405.689,8.43E+01,3.36E+01,3.12E+01
20976,23:06.8,405.751,8.45E+01,3.36E+01,3.13E+01
20977,23:06.8,405.812,8.46E+01,3.36E+01,3.13E+01
20978,23:06.9,405.877,8.48E+01,3.36E+01,3.13E+01
20979,23:07.0,405.937,8.48E+01,3.36E+01,3.13E+01
20980,23:07.0,406.003,8.50E+01,3.36E+01,3.13E+01
20981,23:07.1,406.063,8.52E+01,3.37E+01,3.13E+01
20982,23:07.2,406.125,8.53E+01,3.37E+01,3.13E+01
20983,23:07.2,406.186,8.54E+01,3.37E+01,3.13E+01
20984,23:07.3,406.251,8.56E+01,3.37E+01,3.13E+01
20985,23:07.3,406.312,8.57E+01,3.37E+01,3.13E+01
20986,23:07.4,406.377,8.59E+01,3.37E+01,3.13E+01
20987,23:07.5,406.437,8.60E+01,3.37E+01,3.13E+01
20988,23:07.5,406.502,8.61E+01,3.37E+01,3.14E+01
20989,23:07.6,406.562,8.63E+01,3.37E+01,3.14E+01
20990,23:07.7,406.625,8.64E+01,3.37E+01,3.14E+01
20991,23:07.7,406.692,8.65E+01,3.37E+01,3.14E+01
20992,23:07.8,406.751,8.66E+01,3.37E+01,3.14E+01
20993,23:07.8,406.813,8.68E+01,3.37E+01,3.14E+01
20994,23:07.9,406.876,8.69E+01,3.37E+01,3.14E+01
20995,23:08.0,406.94,8.70E+01,3.37E+01,3.13E+01
20996,23:08.0,407.002,8.71E+01,3.37E+01,3.13E+01
20997,23:08.1,407.061,8.72E+01,3.37E+01,3.13E+01
20998,23:08.2,407.125,8.74E+01,3.37E+01,3.14E+01
20999,23:08.2,407.188,8.76E+01,3.37E+01,3.14E+01
21000,23:08.3,407.25,8.78E+01,3.37E+01,3.15E+01
21001,23:08.3,407.312,8.79E+01,3.37E+01,3.15E+01
21002,23:08.4,407.374,8.81E+01,3.37E+01,3.15E+01
21003,23:08.5,407.436,8.82E+01,3.37E+01,3.15E+01
21004,23:08.5,407.501,8.83E+01,3.37E+01,3.15E+01
21005,23:08.6,407.561,8.85E+01,3.37E+01,3.15E+01
21006,23:08.7,407.627,8.85E+01,3.38E+01,3.15E+01
21007,23:08.7,407.689,8.87E+01,3.38E+01,3.15E+01
21008,23:08.8,407.749,8.88E+01,3.38E+01,3.16E+01
21009,23:08.8,407.812,8.89E+01,3.39E+01,3.15E+01
21010,23:08.9,407.877,8.90E+01,3.39E+01,3.16E+01
21011,23:09.0,407.937,8.91E+01,3.39E+01,3.15E+01
21012,23:09.2,408.154,8.95E+01,3.39E+01,3.16E+01
21013,23:09.2,408.188,8.96E+01,3.40E+01,3.16E+01
21014,23:09.3,408.25,8.98E+01,3.40E+01,3.16E+01
21015,23:09.3,408.312,8.99E+01,3.40E+01,3.16E+01
21016,23:09.4,408.377,9.00E+01,3.40E+01,3.16E+01
21017,23:09.5,408.438,9.01E+01,3.40E+01,3.16E+01
21018,23:09.5,408.499,9.02E+01,3.40E+01,3.17E+01
21019,23:09.6,408.563,9.03E+01,3.40E+01,3.17E+01
21020,23:09.7,408.626,9.04E+01,3.40E+01,3.17E+01
21021,23:09.7,408.688,9.05E+01,3.40E+01,3.17E+01
21022,23:09.8,408.75,9.07E+01,3.39E+01,3.17E+01
21023,23:09.8,408.812,9.08E+01,3.39E+01,3.17E+01
21024,23:09.9,408.874,9.08E+01,3.40E+01,3.17E+01
21025,23:10.0,408.937,9.09E+01,3.40E+01,3.17E+01
21026,23:10.0,409,9.10E+01,3.40E+01,3.17E+01
21027,23:10.1,409.063,9.12E+01,3.40E+01,3.17E+01
21028,23:10.2,409.127,9.12E+01,3.40E+01,3.17E+01
21029,23:10.2,409.188,9.13E+01,3.41E+01,3.17E+01
21030,23:10.3,409.25,9.15E+01,3.41E+01,3.18E+01
21031,23:10.3,409.315,9.15E+01,3.41E+01,3.18E+01
21032,23:10.4,409.375,9.16E+01,3.41E+01,3.18E+01
21033,23:10.5,409.44,9.17E+01,3.41E+01,3.19E+01
21034,23:10.5,409.5,9.18E+01,3.41E+01,3.18E+01
21035,23:10.6,409.562,9.19E+01,3.42E+01,3.18E+01
21036,23:10.7,409.624,9.19E+01,3.42E+01,3.18E+01
21037,23:10.7,409.689,9.20E+01,3.42E+01,3.18E+01
21038,23:10.8,409.751,9.21E+01,3.42E+01,3.19E+01
21039,23:10.8,409.815,9.22E+01,3.42E+01,3.19E+01
21040,23:10.9,409.875,9.23E+01,3.42E+01,3.19E+01
21041,23:11.0,409.937,9.24E+01,3.42E+01,3.19E+01
21042,23:11.0,410.002,9.26E+01,3.42E+01,3.19E+01
21043,23:11.1,410.064,9.26E+01,3.42E+01,3.19E+01
21044,23:11.2,410.124,9.27E+01,3.42E+01,3.19E+01
21045,23:11.2,410.189,9.28E+01,3.42E+01,3.19E+01
21046,23:11.3,410.252,9.28E+01,3.42E+01,3.19E+01
21047,23:11.3,410.314,9.30E+01,3.42E+01,3.19E+01
21048,23:11.4,410.377,9.30E+01,3.42E+01,3.19E+01
21049,23:11.5,410.44,9.31E+01,3.42E+01,3.19E+01
21050,23:11.5,410.5,9.32E+01,3.43E+01,3.19E+01
21051,23:11.6,410.564,9.33E+01,3.43E+01,3.19E+01
21052,23:11.7,410.627,9.34E+01,3.42E+01,3.19E+01
21053,23:11.7,410.689,9.34E+01,3.42E+01,3.19E+01
21054,23:11.8,410.754,9.35E+01,3.43E+01,3.19E+01
21055,23:11.8,410.811,9.36E+01,3.42E+01,3.19E+01
21056,23:11.9,410.877,9.37E+01,3.42E+01,3.19E+01
21057,23:12.0,410.938,9.38E+01,3.43E+01,3.20E+01
21058,23:12.0,411.001,9.39E+01,3.43E+01,3.20E+01
21059,23:12.1,411.068,9.39E+01,3.43E+01,3.20E+01
21060,23:12.2,411.127,9.40E+01,3.43E+01,3.20E+01
21061,23:12.2,411.189,9.40E+01,3.43E+01,3.20E+01
21062,23:12.3,411.252,9.41E+01,3.43E+01,3.20E+01
21063,23:12.3,411.313,9.41E+01,3.43E+01,3.20E+01
21064,23:12.4,411.375,9.43E+01,3.43E+01,3.20E+01
21065,23:12.5,411.44,9.43E+01,3.43E+01,3.20E+01
21066,23:12.5,411.502,9.44E+01,3.43E+01,3.20E+01
21067,23:12.6,411.562,9.44E+01,3.43E+01,3.20E+01
21068,23:12.7,411.625,9.45E+01,3.43E+01,3.20E+01
21069,23:12.7,411.687,9.45E+01,3.43E+01,3.20E+01
21070,23:12.8,411.751,9.46E+01,3.43E+01,3.20E+01
21071,23:12.8,411.812,9.47E+01,3.43E+01,3.21E+01
21072,23:12.9,411.875,9.47E+01,3.43E+01,3.20E+01
21073,23:13.0,411.94,9.49E+01,3.43E+01,3.21E+01
21074,23:13.0,412,9.49E+01,3.44E+01,3.21E+01
21075,23:13.1,412.062,9.50E+01,3.44E+01,3.21E+01
21076,23:13.2,412.126,9.51E+01,3.44E+01,3.21E+01
21077,23:13.2,412.187,9.51E+01,3.44E+01,3.21E+01
21078,23:13.3,412.252,9.52E+01,3.44E+01,3.21E+01
21079,23:13.3,412.312,9.54E+01,3.44E+01,3.21E+01
21080,23:13.4,412.377,9.55E+01,3.44E+01,3.21E+01
21081,23:13.5,412.438,9.55E+01,3.44E+01,3.21E+01
21082,23:13.5,412.502,9.56E+01,3.44E+01,3.22E+01
21083,23:13.6,412.564,9.56E+01,3.45E+01,3.22E+01
21084,23:13.7,412.627,9.57E+01,3.45E+01,3.22E+01
21085,23:13.7,412.688,9.57E+01,3.45E+01,3.22E+01
21086,23:13.8,412.751,9.59E+01,3.45E+01,3.22E+01
21087,23:13.8,412.813,9.59E+01,3.45E+01,3.22E+01
21088,23:13.9,412.878,9.60E+01,3.45E+01,3.23E+01
21089,23:14.0,412.937,9.60E+01,3.45E+01,3.23E+01
21090,23:14.2,413.155,9.63E+01,3.46E+01,3.23E+01
21091,23:14.2,413.19,9.64E+01,3.46E+01,3.23E+01
21092,23:14.3,413.251,9.65E+01,3.46E+01,3.23E+01
21093,23:14.3,413.315,9.65E+01,3.46E+01,3.23E+01
21094,23:14.4,413.377,9.66E+01,3.46E+01,3.23E+01
21095,23:14.5,413.44,9.66E+01,3.46E+01,3.23E+01
21096,23:14.5,413.503,9.67E+01,3.46E+01,3.23E+01
21097,23:14.6,413.561,9.68E+01,3.45E+01,3.23E+01
21098,23:14.7,413.625,9.68E+01,3.46E+01,3.23E+01
21099,23:14.7,413.689,9.69E+01,3.46E+01,3.23E+01
21100,23:14.8,413.751,9.69E+01,3.46E+01,3.23E+01
21101,23:14.8,413.812,9.70E+01,3.46E+01,3.23E+01
21102,23:14.9,413.875,9.71E+01,3.46E+01,3.23E+01
21103,23:15.0,413.94,9.72E+01,3.46E+01,3.24E+01
21104,23:15.0,413.999,9.72E+01,3.46E+01,3.24E+01
21105,23:15.1,414.064,9.73E+01,3.46E+01,3.24E+01
21106,23:15.2,414.131,9.73E+01,3.46E+01,3.24E+01
21107,23:15.2,414.189,9.74E+01,3.47E+01,3.24E+01
21108,23:15.3,414.261,9.75E+01,3.47E+01,3.24E+01
21109,23:15.3,414.315,9.75E+01,3.47E+01,3.24E+01
21110,23:15.4,414.374,9.76E+01,3.48E+01,3.24E+01
21111,23:15.5,414.437,9.77E+01,3.48E+01,3.24E+01
21112,23:15.5,414.5,9.77E+01,3.48E+01,3.24E+01
21113,23:15.6,414.563,9.78E+01,3.48E+01,3.24E+01
21114,23:15.7,414.627,9.79E+01,3.48E+01,3.25E+01
21115,23:15.7,414.69,9.79E+01,3.48E+01,3.25E+01
21116,23:15.8,414.755,9.80E+01,3.48E+01,3.25E+01
21117,23:15.8,414.812,9.81E+01,3.48E+01,3.25E+01
21118,23:15.9,414.878,9.81E+01,3.48E+01,3.25E+01
21119,23:16.0,414.938,9.82E+01,3.48E+01,3.25E+01
21120,23:16.0,415.003,9.82E+01,3.48E+01,3.25E+01
21121,23:16.1,415.063,9.83E+01,3.48E+01,3.25E+01
21122,23:16.2,415.127,9.84E+01,3.48E+01,3.25E+01
21123,23:16.2,415.19,9.84E+01,3.49E+01,3.25E+01
21124,23:16.3,415.252,9.85E+01,3.49E+01,3.25E+01
21125,23:16.3,415.312,9.86E+01,3.49E+01,3.26E+01
21126,23:16.4,415.375,9.86E+01,3.49E+01,3.26E+01
21127,23:16.5,415.439,9.87E+01,3.49E+01,3.26E+01
21128,23:16.5,415.5,9.87E+01,3.49E+01,3.26E+01
21129,23:16.6,415.562,9.88E+01,3.49E+01,3.27E+01
21130,23:16.7,415.625,9.88E+01,3.49E+01,3.27E+01
21131,23:16.7,415.689,9.89E+01,3.49E+01,3.26E+01
21132,23:16.8,415.751,9.89E+01,3.49E+01,3.26E+01
21133,23:16.8,415.813,9.90E+01,3.49E+01,3.26E+01
21134,23:16.9,415.875,9.90E+01,3.49E+01,3.27E+01
21135,23:17.0,415.937,9.91E+01,3.49E+01,3.26E+01
21136,23:17.0,416.002,9.91E+01,3.49E+01,3.26E+01
21137,23:17.1,416.063,9.91E+01,3.50E+01,3.27E+01
21138,23:17.2,416.131,9.93E+01,3.50E+01,3.27E+01
21139,23:17.2,416.189,9.93E+01,3.50E+01,3.27E+01
21140,23:17.3,416.254,9.93E+01,3.50E+01,3.27E+01
21141,23:17.3,416.314,9.94E+01,3.50E+01,3.27E+01
21142,23:17.4,416.374,9.94E+01,3.50E+01,3.27E+01
21143,23:17.5,416.44,9.95E+01,3.50E+01,3.27E+01
21144,23:17.5,416.5,9.96E+01,3.50E+01,3.27E+01
21145,23:17.6,416.564,9.96E+01,3.50E+01,3.27E+01
21146,23:17.7,416.627,9.96E+01,3.50E+01,3.27E+01
21147,23:17.7,416.689,9.97E+01,3.50E+01,3.28E+01
21148,23:17.8,416.751,9.97E+01,3.50E+01,3.28E+01
21149,23:17.8,416.812,9.97E+01,3.51E+01,3.28E+01
21150,23:17.9,416.875,9.98E+01,3.51E+01,3.28E+01
21151,23:18.0,416.937,9.99E+01,3.51E+01,3.28E+01
21152,23:18.0,417.003,9.99E+01,3.51E+01,3.27E+01
21153,23:18.1,417.062,1.00E+02,3.50E+01,3.27E+01
21154,23:18.2,417.128,1.00E+02,3.50E+01,3.27E+01
21155,23:18.2,417.186,1.00E+02,3.50E+01,3.27E+01
21156,23:18.3,417.252,1.00E+02,3.50E+01,3.27E+01
21157,23:18.3,417.312,1.00E+02,3.50E+01,3.27E+01
21158,23:18.4,417.377,1.00E+02,3.50E+01,3.27E+01
21159,23:18.5,417.44,1.00E+02,3.51E+01,3.27E+01
21160,23:18.5,417.502,1.00E+02,3.51E+01,3.27E+01
21161,23:18.6,417.563,1.00E+02,3.51E+01,3.27E+01
21162,23:18.7,417.626,1.00E+02,3.51E+01,3.28E+01
21163,23:18.7,417.692,1.00E+02,3.51E+01,3.28E+01
21164,23:18.8,417.75,1.00E+02,3.51E+01,3.28E+01
21165,23:18.8,417.812,1.00E+02,3.51E+01,3.28E+01
21166,23:18.9,417.875,1.01E+02,3.51E+01,3.28E+01
21167,23:19.0,417.937,1.01E+02,3.51E+01,3.29E+01
21168,23:19.2,418.144,1.01E+02,3.51E+01,3.29E+01
21169,23:19.2,418.189,1.01E+02,3.52E+01,3.29E+01
21170,23:19.3,418.252,1.01E+02,3.52E+01,3.29E+01
21171,23:19.3,418.314,1.01E+02,3.52E+01,3.29E+01
21172,23:19.4,418.377,1.01E+02,3.52E+01,3.29E+01
21173,23:19.5,418.44,1.01E+02,3.52E+01,3.29E+01
21174,23:19.5,418.501,1.01E+02,3.52E+01,3.29E+01
21175,23:19.6,418.565,1.01E+02,3.52E+01,3.29E+01
21176,23:19.7,418.624,1.01E+02,3.52E+01,3.29E+01
21177,23:19.7,418.691,1.01E+02,3.52E+01,3.30E+01
21178,23:19.8,418.75,1.01E+02,3.53E+01,3.30E+01
21179,23:19.8,418.819,1.01E+02,3.53E+01,3.29E+01
21180,23:19.9,418.878,1.01E+02,3.53E+01,3.30E+01
21181,23:20.0,418.94,1.01E+02,3.52E+01,3.30E+01
21182,23:20.0,419.003,1.01E+02,3.52E+01,3.30E+01
21183,23:20.1,419.062,1.01E+02,3.52E+01,3.30E+01
21184,23:20.2,419.127,1.01E+02,3.53E+01,3.30E+01
21185,23:20.2,419.19,1.01E+02,3.53E+01,3.30E+01
21186,23:20.3,419.253,1.01E+02,3.53E+01,3.30E+01
21187,23:20.3,419.312,1.01E+02,3.54E+01,3.30E+01
21188,23:20.4,419.375,1.01E+02,3.54E+01,3.31E+01
21189,23:20.5,419.438,1.01E+02,3.54E+01,3.31E+01
21190,23:20.5,419.5,1.01E+02,3.54E+01,3.31E+01
21191,23:20.6,419.563,1.01E+02,3.55E+01,3.31E+01
21192,23:20.7,419.626,1.01E+02,3.55E+01,3.32E+01
21193,23:20.7,419.689,1.01E+02,3.55E+01,3.32E+01
21194,23:20.8,419.752,1.01E+02,3.56E+01,3.32E+01
21195,23:20.8,419.815,1.01E+02,3.56E+01,3.33E+01
21196,23:20.9,419.877,1.01E+02,3.56E+01,3.33E+01
21197,23:21.0,419.937,1.01E+02,3.56E+01,3.33E+01
21198,23:21.0,420.001,1.01E+02,3.56E+01,3.33E+01
21199,23:21.1,420.062,1.01E+02,3.56E+01,3.33E+01
21200,23:21.2,420.125,1.01E+02,3.56E+01,3.33E+01
21201,23:21.2,420.188,1.01E+02,3.56E+01,3.33E+01
21202,23:21.3,420.253,1.01E+02,3.56E+01,3.33E+01
21203,23:21.3,420.312,1.01E+02,3.56E+01,3.33E+01
21204,23:21.4,420.378,1.01E+02,3.56E+01,3.34E+01
21205,23:21.5,420.437,1.01E+02,3.57E+01,3.34E+01
21206,23:21.5,420.503,1.01E+02,3.56E+01,3.34E+01
21207,23:21.6,420.562,1.01E+02,3.57E+01,3.34E+01
21208,23:21.7,420.625,1.02E+02,3.57E+01,3.34E+01
21209,23:21.7,420.692,1.02E+02,3.57E+01,3.34E+01
21210,23:21.8,420.756,1.02E+02,3.57E+01,3.35E+01
21211,23:21.8,420.82,1.02E+02,3.57E+01,3.35E+01
21212,23:21.9,420.877,1.02E+02,3.57E+01,3.34E+01
21213,23:22.0,420.94,1.02E+02,3.57E+01,3.34E+01
21214,23:22.0,421,1.02E+02,3.57E+01,3.34E+01
21215,23:22.1,421.064,1.02E+02,3.58E+01,3.34E+01
21216,23:22.2,421.124,1.02E+02,3.58E+01,3.35E+01
21217,23:22.2,421.187,1.02E+02,3.58E+01,3.34E+01
21218,23:22.3,421.254,1.02E+02,3.59E+01,3.35E+01
21219,23:22.3,421.313,1.02E+02,3.59E+01,3.35E+01
21220,23:22.4,421.377,1.02E+02,3.59E+01,3.35E+01
21221,23:22.5,421.439,1.02E+02,3.59E+01,3.36E+01
21222,23:22.5,421.5,1.02E+02,3.59E+01,3.36E+01
21223,23:22.6,421.565,1.02E+02,3.59E+01,3.36E+01
21224,23:22.7,421.625,1.02E+02,3.59E+01,3.36E+01
21225,23:22.7,421.689,1.02E+02,3.60E+01,3.36E+01
21226,23:22.8,421.75,1.02E+02,3.60E+01,3.36E+01
21227,23:22.8,421.813,1.02E+02,3.60E+01,3.37E+01
21228,23:22.9,421.878,1.02E+02,3.60E+01,3.37E+01
21229,23:23.0,421.938,1.02E+02,3.60E+01,3.37E+01
21230,23:23.0,422.002,1.02E+02,3.60E+01,3.37E+01
21231,23:23.1,422.064,1.02E+02,3.60E+01,3.37E+01
21232,23:23.2,422.126,1.02E+02,3.60E+01,3.37E+01
21233,23:23.2,422.188,1.02E+02,3.60E+01,3.37E+01
21234,23:23.3,422.26,1.02E+02,3.60E+01,3.37E+01
21235,23:23.3,422.315,1.02E+02,3.60E+01,3.37E+01
21236,23:23.4,422.38,1.02E+02,3.60E+01,3.37E+01
21237,23:23.5,422.439,1.02E+02,3.60E+01,3.38E+01
21238,23:23.5,422.501,1.02E+02,3.60E+01,3.38E+01
21239,23:23.6,422.566,1.02E+02,3.60E+01,3.38E+01
21240,23:23.7,422.627,1.02E+02,3.60E+01,3.38E+01
21241,23:23.7,422.689,1.02E+02,3.60E+01,3.38E+01
21242,23:23.8,422.752,1.02E+02,3.60E+01,3.38E+01
21243,23:23.8,422.815,1.02E+02,3.60E+01,3.38E+01
21244,23:23.9,422.875,1.02E+02,3.60E+01,3.38E+01
21245,23:24.0,422.938,1.02E+02,3.60E+01,3.38E+01
21246,23:24.2,423.166,1.02E+02,3.61E+01,3.38E+01
21247,23:24.2,423.188,1.02E+02,3.61E+01,3.38E+01
21248,23:24.3,423.252,1.02E+02,3.61E+01,3.38E+01
21249,23:24.3,423.315,1.02E+02,3.61E+01,3.38E+01
21250,23:24.4,423.378,1.02E+02,3.61E+01,3.38E+01
21251,23:24.5,423.439,1.02E+02,3.61E+01,3.39E+01
21252,23:24.5,423.501,1.02E+02,3.61E+01,3.38E+01
21253,23:24.6,423.562,1.02E+02,3.62E+01,3.39E+01
21254,23:24.7,423.628,1.02E+02,3.61E+01,3.39E+01
21255,23:24.7,423.69,1.02E+02,3.61E+01,3.39E+01
21256,23:24.8,423.753,1.03E+02,3.61E+01,3.39E+01
21257,23:24.8,423.814,1.03E+02,3.61E+01,3.39E+01
21258,23:24.9,423.876,1.03E+02,3.61E+01,3.39E+01
21259,23:25.0,423.941,1.03E+02,3.62E+01,3.39E+01
21260,23:25.0,424,1.03E+02,3.62E+01,3.39E+01
21261,23:25.1,424.066,1.03E+02,3.62E+01,3.39E+01
21262,23:25.2,424.125,1.03E+02,3.62E+01,3.39E+01
21263,23:25.2,424.19,1.03E+02,3.62E+01,3.39E+01
21264,23:25.3,424.261,1.03E+02,3.63E+01,3.40E+01
21265,23:25.3,424.316,1.03E+02,3.63E+01,3.40E+01
21266,23:25.4,424.375,1.03E+02,3.63E+01,3.40E+01
21267,23:25.5,424.44,1.03E+02,3.63E+01,3.40E+01
21268,23:25.5,424.501,1.03E+02,3.63E+01,3.40E+01
21269,23:25.6,424.563,1.03E+02,3.64E+01,3.40E+01
21270,23:25.7,424.624,1.03E+02,3.64E+01,3.40E+01
21271,23:25.7,424.69,1.03E+02,3.64E+01,3.40E+01
21272,23:25.8,424.75,1.03E+02,3.64E+01,3.40E+01
21273,23:25.8,424.816,1.03E+02,3.64E+01,3.40E+01
21274,23:25.9,424.875,1.03E+02,3.64E+01,3.41E+01
21275,23:26.0,424.94,1.03E+02,3.64E+01,3.41E+01
21276,23:26.0,425.003,1.03E+02,3.65E+01,3.41E+01
21277,23:26.1,425.064,1.03E+02,3.65E+01,3.41E+01
21278,23:26.2,425.127,1.03E+02,3.65E+01,3.41E+01
21279,23:26.2,425.187,1.03E+02,3.65E+01,3.41E+01
21280,23:26.3,425.25,1.03E+02,3.65E+01,3.41E+01
21281,23:26.3,425.313,1.03E+02,3.65E+01,3.41E+01
21282,23:26.4,425.376,1.03E+02,3.65E+01,3.41E+01
21283,23:26.5,425.439,1.03E+02,3.65E+01,3.41E+01
21284,23:26.5,425.5,1.03E+02,3.65E+01,3.41E+01
21285,23:26.6,425.563,1.03E+02,3.65E+01,3.42E+01
21286,23:26.7,425.627,1.03E+02,3.65E+01,3.42E+01
21287,23:26.7,425.687,1.03E+02,3.65E+01,3.42E+01
21288,23:26.8,425.75,1.03E+02,3.65E+01,3.42E+01
21289,23:26.8,425.815,1.03E+02,3.65E+01,3.42E+01
21290,23:26.9,425.877,1.03E+02,3.66E+01,3.42E+01
21291,23:27.0,425.938,1.03E+02,3.66E+01,3.42E+01
21292,23:27.0,426.001,1.04E+02,3.66E+01,3.42E+01
21293,23:27.1,426.063,1.04E+02,3.66E+01,3.42E+01
21294,23:27.2,426.126,1.04E+02,3.66E+01,3.41E+01
21295,23:27.2,426.189,1.04E+02,3.66E+01,3.42E+01
21296,23:27.3,426.252,1.04E+02,3.66E+01,3.42E+01
21297,23:27.3,426.313,1.04E+02,3.66E+01,3.42E+01
21298,23:27.4,426.376,1.04E+02,3.66E+01,3.42E+01
21299,23:27.5,426.438,1.03E+02,3.66E+01,3.42E+01
21300,23:27.5,426.502,1.03E+02,3.66E+01,3.42E+01
21301,23:27.6,426.565,1.03E+02,3.65E+01,3.41E+01
21302,23:27.7,426.625,1.03E+02,3.65E+01,3.42E+01
21303,23:27.7,426.697,1.03E+02,3.65E+01,3.42E+01
21304,23:27.8,426.756,1.03E+02,3.65E+01,3.41E+01
21305,23:27.8,426.821,1.03E+02,3.65E+01,3.41E+01
21306,23:27.9,426.876,1.03E+02,3.65E+01,3.41E+01
21307,23:28.0,426.938,1.03E+02,3.65E+01,3.41E+01
21308,23:28.0,427.003,1.04E+02,3.65E+01,3.42E+01
21309,23:28.1,427.064,1.04E+02,3.65E+01,3.42E+01
21310,23:28.2,427.127,1.04E+02,3.65E+01,3.42E+01
21311,23:28.2,427.189,1.04E+02,3.65E+01,3.42E+01
21312,23:28.3,427.251,1.04E+02,3.66E+01,3.42E+01
21313,23:28.3,427.312,1.04E+02,3.66E+01,3.42E+01
21314,23:28.4,427.378,1.04E+02,3.66E+01,3.42E+01
21315,23:28.5,427.439,1.04E+02,3.66E+01,3.42E+01
21316,23:28.5,427.5,1.04E+02,3.66E+01,3.42E+01
21317,23:28.6,427.562,1.04E+02,3.66E+01,3.42E+01
21318,23:28.7,427.626,1.04E+02,3.66E+01,3.42E+01
21319,23:28.7,427.69,1.04E+02,3.66E+01,3.43E+01
21320,23:28.8,427.752,1.04E+02,3.66E+01,3.43E+01
21321,23:28.8,427.813,1.04E+02,3.66E+01,3.43E+01
21322,23:28.9,427.875,1.04E+02,3.66E+01,3.43E+01
21323,23:29.0,427.938,1.04E+02,3.66E+01,3.43E+01
21324,23:29.2,428.143,1.04E+02,3.67E+01,3.43E+01
21325,23:29.2,428.19,1.04E+02,3.67E+01,3.43E+01
21326,23:29.3,428.252,1.04E+02,3.67E+01,3.43E+01
21327,23:29.3,428.312,1.04E+02,3.67E+01,3.43E+01
21328,23:29.4,428.378,1.04E+02,3.68E+01,3.43E+01
21329,23:29.5,428.44,1.04E+02,3.68E+01,3.43E+01
21330,23:29.5,428.502,1.04E+02,3.68E+01,3.43E+01
21331,23:29.6,428.564,1.04E+02,3.68E+01,3.44E+01
21332,23:29.7,428.626,1.04E+02,3.68E+01,3.44E+01
21333,23:29.7,428.696,1.04E+02,3.68E+01,3.44E+01
21334,23:29.8,428.75,1.04E+02,3.68E+01,3.44E+01
21335,23:29.8,428.815,1.04E+02,3.68E+01,3.45E+01
21336,23:29.9,428.877,1.04E+02,3.68E+01,3.45E+01
21337,23:30.0,428.939,1.04E+02,3.68E+01,3.45E+01
21338,23:30.0,429.002,1.04E+02,3.69E+01,3.45E+01
21339,23:30.1,429.066,1.04E+02,3.69E+01,3.45E+01
21340,23:30.2,429.125,1.04E+02,3.70E+01,3.45E+01
21341,23:30.2,429.189,1.04E+02,3.70E+01,3.45E+01
21342,23:30.3,429.252,1.04E+02,3.70E+01,3.45E+01
21343,23:30.3,429.313,1.05E+02,3.70E+01,3.46E+01
21344,23:30.4,429.376,1.05E+02,3.71E+01,3.46E+01
21345,23:30.5,429.441,1.05E+02,3.71E+01,3.47E+01
21346,23:30.5,429.5,1.05E+02,3.71E+01,3.46E+01
21347,23:30.6,429.566,1.05E+02,3.71E+01,3.47E+01
21348,23:30.7,429.626,1.05E+02,3.71E+01,3.48E+01
21349,23:30.7,429.689,1.05E+02,3.71E+01,3.47E+01
