frame,abstime,reltime,Cursor 1 [C],Cursor 2 [C],Cursor 3 [C]
14769,16:27.0,5.935,3.69E+01,3.39E+01,3.15E+01
14770,16:27.0,6.001,3.69E+01,3.39E+01,3.15E+01
14771,16:27.1,6.062,3.69E+01,3.39E+01,3.15E+01
14772,16:27.2,6.13,3.69E+01,3.39E+01,3.14E+01
14773,16:27.2,6.185,3.69E+01,3.38E+01,3.15E+01
14774,16:27.3,6.25,3.68E+01,3.39E+01,3.14E+01
14775,16:27.3,6.311,3.68E+01,3.39E+01,3.14E+01
14776,16:27.4,6.375,3.68E+01,3.38E+01,3.14E+01
14777,16:27.5,6.437,3.68E+01,3.38E+01,3.13E+01
14778,16:27.5,6.499,3.68E+01,3.38E+01,3.14E+01
14779,16:27.6,6.562,3.67E+01,3.38E+01,3.14E+01
14780,16:27.7,6.626,3.67E+01,3.38E+01,3.14E+01
14781,16:27.7,6.688,3.67E+01,3.37E+01,3.14E+01
14782,16:27.8,6.748,3.67E+01,3.38E+01,3.14E+01
14783,16:27.8,6.812,3.67E+01,3.38E+01,3.14E+01
14784,16:27.9,6.876,3.67E+01,3.38E+01,3.14E+01
14785,16:28.0,6.936,3.67E+01,3.38E+01,3.14E+01
14786,16:28.0,6.998,3.67E+01,3.38E+01,3.14E+01
14787,16:28.1,7.064,3.67E+01,3.38E+01,3.14E+01
14788,16:28.2,7.124,3.67E+01,3.38E+01,3.14E+01
14789,16:28.2,7.185,3.66E+01,3.38E+01,3.14E+01
14790,16:28.3,7.251,3.66E+01,3.38E+01,3.13E+01
14791,16:28.3,7.31,3.66E+01,3.38E+01,3.13E+01
14792,16:28.4,7.374,3.66E+01,3.37E+01,3.13E+01
14793,16:28.5,7.438,3.66E+01,3.37E+01,3.14E+01
14794,16:28.5,7.498,3.66E+01,3.37E+01,3.13E+01
14795,16:28.6,7.564,3.66E+01,3.37E+01,3.14E+01
14796,16:28.6,7.623,3.65E+01,3.37E+01,3.14E+01
14797,16:28.7,7.687,3.65E+01,3.37E+01,3.13E+01
14798,16:28.8,7.749,3.65E+01,3.37E+01,3.13E+01
14799,16:28.8,7.812,3.65E+01,3.37E+01,3.14E+01
14800,16:28.9,7.873,3.65E+01,3.37E+01,3.14E+01
14801,16:29.1,8.055,3.65E+01,3.38E+01,3.14E+01
14802,16:29.1,8.074,3.65E+01,3.38E+01,3.14E+01
14803,16:29.2,8.124,3.65E+01,3.37E+01,3.13E+01
14804,16:29.2,8.188,3.65E+01,3.38E+01,3.14E+01
14805,16:29.3,8.25,3.65E+01,3.38E+01,3.14E+01
14806,16:29.3,8.311,3.65E+01,3.38E+01,3.14E+01
14807,16:29.4,8.373,3.65E+01,3.38E+01,3.14E+01
14808,16:29.5,8.437,3.64E+01,3.37E+01,3.14E+01
14809,16:29.5,8.498,3.64E+01,3.37E+01,3.14E+01
14810,16:29.6,8.563,3.64E+01,3.37E+01,3.14E+01
14811,16:29.6,8.623,3.64E+01,3.37E+01,3.14E+01
14812,16:29.7,8.687,3.64E+01,3.37E+01,3.14E+01
14813,16:29.8,8.751,3.64E+01,3.37E+01,3.13E+01
14814,16:29.8,8.813,3.64E+01,3.37E+01,3.13E+01
14815,16:29.9,8.872,3.63E+01,3.37E+01,3.13E+01
14816,16:30.0,8.937,3.63E+01,3.37E+01,3.13E+01
14817,16:30.0,9.001,3.63E+01,3.37E+01,3.13E+01
14818,16:30.1,9.063,3.63E+01,3.37E+01,3.13E+01
14819,16:30.2,9.125,3.63E+01,3.37E+01,3.13E+01
14820,16:30.2,9.186,3.63E+01,3.37E+01,3.13E+01
14821,16:30.3,9.25,3.63E+01,3.37E+01,3.13E+01
